id,foss_id,tutorial,level_id,order,user_id,created,updated
61,33,Introduction to STEP,1,1,1,2014-07-27 13:07:41,2014-07-27 13:07:41
62,25,Echo Function,1,3,1,2014-07-27 13:07:42,2014-07-27 13:07:42
63,25,Variables in PHP,1,4,1,2014-07-27 13:07:42,2014-07-27 13:07:42
64,25,If Statement,1,5,1,2014-07-27 13:07:42,2014-07-27 13:07:42
65,25,Switch Statement,1,6,1,2014-07-27 13:07:42,2014-07-27 13:07:42
66,25,Arithmatic Operators,1,7,1,2014-07-27 13:07:42,2014-07-27 13:07:42
67,25,Comparison Operators,1,8,1,2014-07-27 13:07:42,2014-07-27 13:07:42
68,25,Logical Operators,1,9,1,2014-07-27 13:07:43,2014-07-27 13:07:43
69,25,Arrays,1,10,1,2014-07-27 13:07:43,2014-07-27 13:07:43
70,25,Multi Dimensional Arrays,1,11,1,2014-07-27 13:07:43,2014-07-27 13:07:43
71,4,Introduction,1,1,1,2014-07-27 13:07:43,2014-07-27 13:07:43
72,25,Loops While Statement,1,12,1,2014-07-27 13:07:43,2014-07-27 13:07:43
73,4,Firefox interface and toolbars,1,2,1,2014-07-27 13:07:43,2014-07-27 13:07:43
74,25,Loops Do While Statement,1,13,1,2014-07-27 13:07:43,2014-07-27 13:07:43
75,25,Loops For Statement,1,14,1,2014-07-27 13:07:44,2014-07-27 13:07:44
76,4,Searching and Auto complete,1,3,1,2014-07-27 13:07:44,2014-07-27 13:07:44
77,4,Tabbed Browsing Blocking Pop ups,1,4,1,2014-07-27 13:07:44,2014-07-27 13:07:44
78,25,Loops Foreach Statement,1,15,1,2014-07-27 13:07:44,2014-07-27 13:07:44
79,25,Functions Basic,1,16,1,2014-07-27 13:07:44,2014-07-27 13:07:44
80,25,Functions Advanced,1,17,1,2014-07-27 13:07:44,2014-07-27 13:07:44
81,25,GET Variable,1,18,1,2014-07-27 13:07:44,2014-07-27 13:07:44
82,25,POST Variable,1,19,1,2014-07-27 13:07:44,2014-07-27 13:07:44
83,25,Embedding PHP,1,20,1,2014-07-27 13:07:44,2014-07-27 13:07:44
84,25,Common Way to Display HTML,1,21,1,2014-07-27 13:07:45,2014-07-27 13:07:45
85,25,Common Errors Part 1,1,22,1,2014-07-27 13:07:45,2014-07-27 13:07:45
86,25,Common Errors Part 2,1,23,1,2014-07-27 13:07:45,2014-07-27 13:07:45
87,25,Common Errors Part 3,1,24,1,2014-07-27 13:07:45,2014-07-27 13:07:45
88,25,File Upload Part 1,3,36,1,2014-07-27 13:07:45,2014-07-27 13:07:45
89,25,File Upload Part 2,3,37,1,2014-07-27 13:07:45,2014-07-27 13:07:45
90,25,Cookies Part 1,3,38,1,2014-07-27 13:07:46,2014-07-27 13:07:46
91,25,Cookies Part 2,3,39,1,2014-07-27 13:07:46,2014-07-27 13:07:46
92,25,Sessions,3,40,1,2014-07-27 13:07:46,2014-07-27 13:07:46
93,25,MD5 Encryption,3,41,1,2014-07-27 13:07:46,2014-07-27 13:07:46
94,25,Sending Email Part 1,3,42,1,2014-07-27 13:07:46,2014-07-27 13:07:46
95,25,Sending Email Part 2,3,43,1,2014-07-27 13:07:47,2014-07-27 13:07:47
96,25,Sending Email Part 3,3,44,1,2014-07-27 13:07:47,2014-07-27 13:07:47
97,25,Simple Visitor Counter,3,33,1,2014-07-27 13:07:47,2014-07-27 13:07:47
98,25,PHP String Functions Part 1,3,34,1,2014-07-27 13:07:47,2014-07-27 13:07:47
99,32,Editing a spoken tutorial using Movie Maker,1,5,1,2014-07-27 13:07:47,2014-07-27 13:07:47
100,25,PHP String Functions Part 2,3,35,1,2014-07-27 13:07:48,2014-07-27 13:07:48
101,32,Creation of a spoken tutorial using recordMyDesktop,1,3,1,2014-07-27 13:07:48,2014-07-27 13:07:48
102,32,Dubbing a spoken tutorial using Audacity and ffmpeg,1,6,1,2014-07-27 13:07:48,2014-07-27 13:07:48
103,25,Display Images from a Directory,3,45,1,2014-07-27 13:07:48,2014-07-27 13:07:48
104,32,Guidelines for a Campus Ambassador,1,9,1,2014-07-27 13:07:48,2014-07-27 13:07:48
105,25,User Login Part 1,3,46,1,2014-07-27 13:07:48,2014-07-27 13:07:48
106,25,User Login Part 2,3,47,1,2014-07-27 13:07:48,2014-07-27 13:07:48
107,32,Guidelines for recording and narration,1,8,1,2014-07-27 13:07:49,2014-07-27 13:07:49
108,25,User Login Part 3,3,48,1,2014-07-27 13:07:49,2014-07-27 13:07:49
109,108,Ubuntu Desktop 14.04,1,5,7,2014-07-27 13:07:49,2019-09-25 05:16:34
110,25,User Password Change Part 2,3,50,1,2014-07-27 13:07:49,2014-07-27 13:07:49
111,25,User Registration Part 1,3,52,1,2014-07-27 13:07:49,2014-07-27 13:07:49
112,25,User Registration Part 2,3,53,1,2014-07-27 13:07:49,2014-07-27 13:07:49
113,25,User Registration Part 3,3,54,1,2014-07-27 13:07:49,2014-07-27 13:07:49
114,25,User Registration Part 4,3,55,1,2014-07-27 13:07:50,2014-07-27 13:07:50
115,25,User Registration Part 5,3,56,1,2014-07-27 13:07:50,2014-07-27 13:07:50
116,25,User Registration Part 6,3,57,1,2014-07-27 13:07:50,2014-07-27 13:07:50
117,108,Synaptic Package Manager,1,2,7,2014-07-27 13:07:51,2019-09-25 05:15:50
118,25,XAMPP in Windows,1,1,1,2014-07-27 13:07:51,2014-07-27 13:07:51
119,25,XAMPP in Linux,1,2,1,2014-07-27 13:07:51,2014-07-27 13:07:51
120,7,An Image For The Web,1,1,1,2014-07-27 13:07:51,2014-07-27 13:07:51
